"","Acacias","Actipan","Ampliacion Granada","Ampliacion Napoles","Anzures","Bosque de Chapultepec","Buenavista","Centro","Ciudad de los Deportes","Condesa","Cuauhtemoc","Del Valle Centro","Del Valle Norte","Del Valle Sur","Doctores","Escandon","Extremadura Insurgentes","General Pedro Maria Anaya","Granada","Hipodromo","Hipodromo Condesa","Insurgentes Mixcoac","Insurgentes San Borja","Juarez","Letran Valle","Napoles","Narvarte Poniente","Noche Buena","Polanco","Portales Norte","Residencial Emperadores","Roma Norte","Roma Sur","San Miguel Chapultepec","San Pedro de los Pinos","San Rafael","Santa Cruz Atoyac","Santa Maria Nonoalco","Tabacalera","Tlacoquemecatl","Xoco"
"",494,0,0,929,2,20,14,82,1788,1,32,267,3,26,6,301,12,0,3,1,115,8,1,8,1238,8,15,60,1,88,2,1,694,56,12,0,83,5,0,187,3,0
"Acacias",0,2818,1199,4465,121,12,8,23,63,123,71,139,820,859,5834,8,228,134,659,0,456,56,1129,211,148,186,267,600,38,16,85,152,276,172,66,196,3,1005,139,17,2080,413
"Actipan",2,1476,1246,2665,133,79,35,88,62,137,92,105,1181,986,5221,74,178,143,670,2,244,28,1222,147,394,202,396,830,57,12,107,152,407,214,52,352,8,1252,183,72,1373,400
"Ampliacion Granada",800,4042,2475,370474,6894,18978,21823,50886,100589,5989,52215,118975,17934,31536,24353,7490,31162,2646,8573,10379,97194,15627,10042,3172,167331,2795,24168,26187,1190,133218,1384,1697,152109,38436,19389,15092,58862,7128,5042,28602,11049,4189
"Ampliacion Napoles",5,62,144,6562,1843,53,28,334,207,569,636,289,665,1103,1429,16,1346,458,60,4,1148,227,1597,99,466,59,4193,895,229,184,67,27,971,423,157,3128,180,222,1083,99,598,41
"Anzures",12,26,20,16644,97,11783,2323,3160,3590,17,1461,6420,212,508,161,175,745,2,13,1175,2943,422,248,10,10637,35,419,904,8,24592,129,0,6344,1510,990,115,1619,103,29,645,38,6
"Bosque de Chapultepec",12,33,5,23559,19,3082,11943,2304,6592,10,2416,7325,77,420,141,188,854,5,4,705,2781,494,146,11,16310,27,154,456,2,20697,16,48,5560,991,2361,192,1619,78,42,1188,26,13
"Buenavista",81,22,79,39174,258,2585,936,3053,13115,6,1385,25084,144,917,95,524,512,0,4,1328,2343,414,75,62,25604,17,1185,506,50,7383,5,4,10581,1029,457,240,9751,127,4,9858,61,1
"Centro",1488,88,22,91393,114,2018,3971,19287,164721,49,3115,40064,229,1021,310,9709,1301,4,125,701,4984,738,126,26,63119,213,523,2921,12,8876,135,47,29647,4141,1216,222,16615,293,66,18791,113,89
"Ciudad de los Deportes",1,144,90,7700,715,25,21,281,207,2981,348,173,942,965,2277,14,1069,947,79,24,1016,168,2483,604,467,97,3459,686,1062,95,38,58,829,432,178,1565,68,189,2707,59,989,40
"Condesa",33,113,52,55528,477,1234,2206,2072,4476,354,38756,6022,780,3188,512,358,7138,264,114,279,55883,8566,521,118,18951,265,2554,2239,57,8833,101,78,48638,7019,10055,1125,1338,228,322,759,361,58
"Cuauhtemoc",315,189,77,101680,600,4727,9337,23037,41981,74,6934,83208,479,1829,384,1868,2288,7,71,1282,12102,2212,316,43,84097,173,1405,2659,31,27087,162,47,36734,4901,2827,485,26349,190,114,8464,173,40
"Del Valle Centro",5,972,1287,19683,1238,153,71,172,388,823,618,477,25325,9792,17007,80,906,827,955,9,2158,278,1367,3491,1428,1391,1993,11246,559,659,1016,539,2550,1021,287,959,148,2630,834,52,5752,365
"Del Valle Norte",24,946,816,30745,1712,437,330,1453,2059,677,2476,1711,10427,39354,9353,310,2829,144,926,298,9497,1216,1562,1628,4434,1591,7846,30339,189,2021,747,371,11280,6024,1050,2939,584,1956,242,511,3764,338
"Del Valle Sur",2,7553,6555,25165,1987,55,34,159,331,2145,506,350,15745,10424,50491,52,1281,1198,3033,3,1633,356,9735,2609,738,2264,3559,5608,919,206,1390,2736,1970,960,349,1481,166,9390,679,96,16319,1337
"Doctores",227,11,5,6700,8,130,167,760,9770,5,330,2291,65,239,68,1716,65,0,4,105,827,58,94,16,4961,21,112,544,2,742,7,1,6744,880,64,20,875,25,5,986,16,5
"Escandon",6,336,132,35136,1644,814,736,1172,2502,472,6303,2435,1127,4045,1120,159,33761,175,271,231,29299,5010,1450,204,6664,158,6161,2363,100,3607,127,81,14009,5378,7296,2996,544,542,715,542,792,94
"Extremadura Insurgentes",1,203,159,3452,332,6,11,0,24,961,312,72,641,310,1433,2,242,633,44,9,249,228,2922,383,51,31,656,189,131,23,45,19,135,108,143,537,7,125,471,8,1233,28
"General Pedro Maria Anaya",2,688,503,7040,34,10,1,31,106,48,103,32,873,627,2325,139,167,50,3767,0,170,22,473,54,141,639,287,1147,22,47,628,575,400,258,24,128,25,3853,57,13,346,1283
"Granada",1,1,2,11266,7,1055,579,2449,1264,2,767,1491,23,171,39,65,390,1,1,5108,927,91,6,7,2929,5,101,255,0,27038,1,0,1660,561,262,20,1643,3,0,296,2,0
"Hipodromo",54,439,272,100040,1627,2473,2347,4124,6168,454,54084,10609,2710,9463,2063,1190,19481,168,289,621,109296,17406,1320,433,24664,592,9052,4833,154,12656,609,205,85017,19239,12711,2007,2732,734,450,1613,781,154
"Hipodromo Condesa",11,57,18,16047,210,280,646,611,1054,98,8380,2124,776,1503,251,122,4056,57,62,48,17883,4869,431,48,3933,95,1292,979,13,2589,134,23,12561,3777,7027,1198,321,57,169,241,165,18
"Insurgentes Mixcoac",3,1295,1284,11254,1075,264,112,162,294,2809,995,500,1869,2114,12981,19,2805,2664,701,13,1879,561,22618,1000,1051,637,3196,1385,1025,315,516,683,1374,517,419,2915,121,2274,1553,86,4424,393
"Insurgentes San Borja",2,460,159,3324,173,7,15,146,48,276,62,34,2455,1758,3152,23,267,201,88,2,421,57,765,1332,351,274,674,883,130,188,96,78,395,237,79,228,9,431,453,26,1789,97
"Juarez",1097,213,360,147425,397,6761,7572,42374,103847,168,17622,84162,1142,3766,829,5303,4795,29,324,1523,24837,3928,708,222,174040,414,2616,6887,75,25921,287,184,104522,16168,4744,1020,31096,472,305,20380,385,111
"Letran Valle",12,145,210,2111,73,15,21,34,142,75,304,66,1124,1461,2011,16,114,23,608,3,558,49,251,66,369,2083,264,1699,163,67,870,422,571,176,34,142,18,1821,21,39,647,175
"Napoles",8,262,249,25671,4860,398,239,2413,1036,2440,2690,1357,1825,5839,3411,179,5960,465,328,23,7511,1537,3583,551,3302,255,16301,4090,557,778,227,153,7094,2225,1485,9690,795,591,1700,452,1627,113
"Narvarte Poniente",83,642,492,23267,1671,466,527,826,2631,311,1329,1707,11550,31104,4629,593,1468,107,1061,53,3961,618,796,638,4843,1472,3907,26327,187,1002,601,648,13581,6811,597,691,493,2190,225,339,1327,486
"Noche Buena",1,60,117,1833,150,1,3,61,46,1285,96,29,516,206,992,1,132,248,42,0,260,37,1972,175,97,72,550,229,566,16,26,9,191,65,29,264,36,108,1378,3,521,20
"Polanco",179,41,36,134159,148,25379,12760,13925,21476,85,10923,22440,781,2591,491,1092,5096,25,62,26364,16147,2957,616,288,49554,221,1275,2983,23,394813,137,29,29025,6510,9643,1156,8557,205,259,3469,89,15
"Portales Norte",1,100,96,1081,36,32,8,9,53,23,35,51,976,941,1544,18,92,42,768,0,363,45,315,73,233,1171,444,638,15,63,1456,175,327,111,92,110,12,1181,23,14,404,104
"Residencial Emperadores",6,37,113,1416,55,2,10,5,107,18,36,23,410,283,2182,15,71,13,599,0,129,11,397,97,100,346,110,467,0,2,165,336,407,80,113,35,18,1126,23,17,686,283
"Roma Norte",667,363,334,135219,1007,3920,4713,13243,35465,398,49712,32855,2455,9503,1806,7389,10323,79,518,1139,81259,11182,831,255,102392,944,5556,17399,142,21310,380,238,346520,72926,9207,1988,12212,1007,370,6752,853,267
"Roma Sur",33,207,81,34169,497,1036,643,1089,4422,177,6629,4391,1032,6652,934,912,3565,21,313,225,19668,2433,271,279,15220,265,2474,8393,61,4307,148,84,78712,66040,2383,466,1280,364,71,1097,520,116
"San Miguel Chapultepec",46,86,55,21067,334,1196,1830,834,2200,164,10291,2546,307,1339,453,160,10573,115,44,267,15255,7470,933,47,7389,137,1426,1125,19,9905,187,52,11060,2694,50677,1782,571,136,452,390,286,26
"San Pedro de los Pinos",3,142,343,17939,5522,187,172,270,452,1062,1809,572,1088,3979,1441,43,3528,175,159,11,3530,1459,2008,198,1803,207,12525,1616,219,608,69,117,3003,592,960,8795,88,256,1036,127,587,77
"San Rafael",93,5,14,62440,73,1761,1621,11161,18363,13,1754,29660,170,581,108,706,551,1,26,766,3284,322,85,89,33096,18,592,828,11,7385,25,13,14136,1396,578,62,32204,37,6,4371,48,6
"Santa Cruz Atoyac",6,478,947,5034,230,18,12,65,315,354,111,135,2246,1587,7010,72,259,55,4244,7,632,31,1076,111,199,1854,300,2305,75,66,1371,1430,666,412,31,254,20,7999,56,49,1470,1478
"Santa Maria Nonoalco",1,112,123,5452,1358,11,13,87,91,3450,198,162,1332,350,923,4,1032,386,64,85,773,175,1147,750,446,55,2235,245,2202,70,20,18,601,118,260,893,121,128,978,38,592,30
"Tabacalera",110,6,15,27050,29,400,994,13337,21373,29,622,13308,40,257,85,975,420,2,12,287,1015,174,32,11,16903,30,290,623,12,2367,19,14,7039,1046,211,103,4581,50,6,5989,22,8
"Tlacoquemecatl",1,1706,1216,11116,1219,25,12,225,164,1104,271,152,5732,5462,14487,41,630,962,502,1,689,185,3545,2104,496,830,1952,2391,453,97,360,1008,991,547,74,570,94,1766,353,122,8225,382
"Xoco",0,186,185,2645,39,10,4,7,98,39,37,21,233,274,1112,8,76,18,2474,0,109,18,184,21,98,237,67,613,6,4,158,283,229,101,4,65,12,1899,21,6,337,868
